evidence_id,month,country,channel,sessions,orders,gross_revenue_usd,discounts_usd,refunds_usd,ad_spend_usd,support_cases,resolved_within_sla,delivery_days_total,nps_responses,promoters,detractors
F001,2026-04,MX,organic,4000,180,10000,350,220,0,50,42,590,60,38,8
F002,2026-04,MX,paid,3500,160,9500,450,280,1800,45,38,540,55,34,9
F003,2026-04,ES,organic,3200,145,9000,300,190,0,40,36,450,50,33,6
F004,2026-04,ES,paid,2800,130,8200,380,250,1500,38,31,430,45,28,8
F005,2026-04,CO,organic,3000,125,6500,260,180,0,44,37,470,48,29,9
F006,2026-04,CO,paid,2500,110,6000,300,210,1100,42,34,430,44,25,10
F007,2026-05,MX,organic,4200,195,11000,370,230,0,48,42,620,62,41,7
F008,2026-05,MX,paid,3700,175,10200,460,260,1900,47,40,570,58,37,8
F009,2026-05,ES,organic,3350,155,9500,310,200,0,42,37,470,52,35,6
F010,2026-05,ES,paid,2950,142,8700,390,240,1550,39,33,450,47,30,7
F011,2026-05,CO,organic,3150,135,7000,270,170,0,45,39,480,50,31,8
F012,2026-05,CO,paid,2650,120,6400,310,200,1150,43,36,450,45,27,9
F013,2026-06,MX,organic,4400,210,12000,390,240,0,50,45,630,65,44,7
F014,2026-06,MX,paid,3900,190,11000,470,270,2000,49,43,590,60,39,8
F015,2026-06,ES,organic,3500,168,10000,320,210,0,43,39,490,55,37,6
F016,2026-06,ES,paid,3100,155,9300,400,250,1600,41,35,470,49,32,7
F017,2026-06,CO,organic,3300,148,7600,280,180,0,46,40,510,52,33,8
F018,2026-06,CO,paid,2800,131,6900,320,210,1200,44,37,480,47,29,9
