run_id,repetition,automatic_accepted,editorial_review,rule_id,category,critical,status,details
write-report__gpt-5.6-sol__r1,1,false,not_testable,G01,gate,true,fail,Resultado terminal: http_or_parse_failure_503
write-report__gpt-5.6-sol__r1,1,false,not_testable,R01,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R02,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R03,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R04,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R05,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R06,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R07,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R08,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R09,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R10,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R11,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R12,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R13,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R14,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
write-report__gpt-5.6-sol__r1,1,false,not_testable,R15,not_executed,false,not_run,No se ejecutó tras fallar la puerta de salida
